	priority	created	url	completed	section_id	id	content	comment_count	label_ids	project_id	order	due
0	1	2020-03-08T20:53:42Z	https://todoist.com/showTask?id=3740178817	False	0	3740178817	Letters to a poet	0	[]	2221539577	1	2020-03-08
1	1	2020-03-08T20:07:05Z	https://todoist.com/showTask?id=3740111186	False	0	3740111186	[rsnous.com](https://rsnous.com/)	0	[]	2221539577	2	2020-03-08
2	1	2020-03-07T23:11:40Z	https://todoist.com/showTask?id=3738930475	False	0	3738930475	[rendering markdown in flask](https://rudra.dev/post/rendering-markdown-from-flask)	0	[]	2221539577	3	2020-03-08
3	1	2020-03-05T19:04:06Z	https://todoist.com/showTask?id=3735004889	False	0	3735004889	[community and privacy](https://www.patternlanguage.com/bookstore/community-and-privacy.html)	0	[]	2221539577	4	2020-03-08
4	1	2020-03-05T19:03:56Z	https://todoist.com/showTask?id=3735004678	False	0	3735004678	[a foreshadowing of 21 century art](https://www.patternlanguage.com/bookstore/foreshadowing-of-21st-century-art.html)	0	[]	2221539577	5	2020-03-08
5	1	2020-03-05T19:03:40Z	https://todoist.com/showTask?id=3735004289	False	0	3735004289	[new theory of urban design](https://www.patternlanguage.com/bookstore/new-theory-of-urban-design.html)	0	[]	2221539577	6	2020-03-09
6	1	2020-03-05T19:03:30Z	https://todoist.com/showTask?id=3735003985	False	0	3735003985	[the production of houses](https://www.patternlanguage.com/bookstore/production-of-houses.html)	0	[]	2221539577	7	2020-03-09
7	1	2020-03-05T19:03:21Z	https://todoist.com/showTask?id=3735003762	False	0	3735003762	[the oregon experiment](https://www.patternlanguage.com/bookstore/oregon-experiment.html)	0	[]	2221539577	8	2020-03-09
8	1	2020-03-05T19:02:55Z	https://todoist.com/showTask?id=3735003044	False	0	3735003044	[the timeless way of building](https://www.patternlanguage.com/bookstore/timeless-way-of-building.html)	0	[]	2221539577	9	2020-03-09
9	1	2020-03-05T06:54:38Z	https://todoist.com/showTask?id=3733581963	False	0	3733581963	[life in tibet](https://www.youtube.com/watch?v=WVD4QExHagk)	0	[]	2221539577	10	2020-03-09
10	1	2020-03-05T00:55:20Z	https://todoist.com/showTask?id=3733213535	False	0	3733213535	[studio production data science](https://netflixtechblog.com/studio-production-data-science-646ee2cc21a1)	0	[]	2221539577	11	2020-03-10
11	1	2020-03-04T23:55:00Z	https://todoist.com/showTask?id=3733146302	False	0	3733146302	[naming a business](https://seths.blog/2003/06/naming_a_busine/)	0	[]	2221539577	12	2020-03-10
12	1	2020-03-04T21:36:48Z	https://todoist.com/showTask?id=3732939925	False	0	3732939925	[pattern language books](https://www.patternlanguage.com/bookstore/bookshelf.html)	0	[]	2221539577	13	2020-03-10
13	1	2020-03-04T21:36:12Z	https://todoist.com/showTask?id=3732938677	False	0	3732938677	a pattern language - kindle	0	[]	2221539577	14	2020-03-10
14	1	2020-03-04T21:35:03Z	https://todoist.com/showTask?id=3732936454	False	0	3732936454	[patternlanguage](https://www.patternlanguage.com/)	0	[]	2221539577	15	2020-03-10
15	1	2020-03-04T21:34:43Z	https://todoist.com/showTask?id=3732935844	False	0	3732935844	[MONIAC](https://en.wikipedia.org/wiki/MONIAC)	0	[]	2221539577	16	2020-03-11
16	1	2020-03-04T21:01:28Z	https://todoist.com/showTask?id=3732876555	False	0	3732876555	[Steven Kosslyn podcast notes](https://roamresearch.com/#/app/stian-research/page/9gAsR_QSs)	0	[]	2221539577	17	2020-03-11
17	1	2020-03-04T20:59:57Z	https://todoist.com/showTask?id=3732873129	False	0	3732873129	[Building the Intentional University: Minerva and the Future of Higher Education (The MIT Press)](https://www.amazon.com/Building-Intentional-University-Minerva-Education-ebook/dp/B076DLBFN2/ref=sr_1_1?keywords=building+the+intentional+university&qid=1583159075&sr=8-1)	0	[]	2221539577	18	2020-03-11
18	1	2020-03-04T20:59:22Z	https://todoist.com/showTask?id=3732872007	False	0	3732872007	[Joshua Fost: Education for Century](https://www.youtube.com/watch?v=XORIZCL3gRE)	0	[]	2221539577	19	2020-03-11
19	1	2020-03-04T20:59:00Z	https://todoist.com/showTask?id=3732871392	False	0	3732871392	[0:06 / 40:402019 ASU GSV Summit: Realizing Change Practical Solutions for Major Reform in Higher Education](https://www.youtube.com/watch?v=ouqVnkgwpmE)	0	[]	2221539577	20	2020-03-11
20	1	2020-03-04T20:58:42Z	https://todoist.com/showTask?id=3732870819	False	0	3732870819	[Berkeley Law and Minerva Project Partner to Launch Executive Leadership Program for Legal Professionals](https://www.law.berkeley.edu/article/berkeley-law-and-minerva-project-partner-to-launch-executive-leadership-program-for-legal-professionals/)	0	[]	2221539577	21	2020-03-12
21	1	2020-03-04T19:11:12Z	https://todoist.com/showTask?id=3732669844	False	0	3732669844	[systems thinking applied to teaming](http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.201.2203&rep=rep1&type=pdf)	0	[]	2221539577	22	2020-03-12
22	1	2020-03-04T19:09:44Z	https://todoist.com/showTask?id=3732667196	False	0	3732667196	[problems](http://www.farooq-javed.com/farooqjaved/2019/12/20/problems)	0	[]	2221539577	23	2020-03-12
23	1	2020-03-04T19:09:36Z	https://todoist.com/showTask?id=3732666956	False	0	3732666956	[invent the future](http://www.farooq-javed.com/farooqjaved/2019/11/17/invent-the-future)	0	[]	2221539577	24	2020-03-12
24	1	2020-03-04T19:09:23Z	https://todoist.com/showTask?id=3732666619	False	0	3732666619	[impute](http://www.farooq-javed.com/farooqjaved/2019/8/31/impute)	0	[]	2221539577	25	2020-03-12
25	1	2020-03-04T19:09:18Z	https://todoist.com/showTask?id=3732666477	False	0	3732666477	[wisdom](http://www.farooq-javed.com/farooqjaved/2019/8/19/time-spans)	0	[]	2221539577	26	2020-03-13
26	1	2020-03-04T19:09:12Z	https://todoist.com/showTask?id=3732666296	False	0	3732666296	[true dialogue](http://www.farooq-javed.com/farooqjaved/2019/8/4/true-dialogue)	0	[]	2221539577	27	2020-03-13
27	1	2020-03-04T19:09:06Z	https://todoist.com/showTask?id=3732666097	False	0	3732666097	[medallia](http://www.farooq-javed.com/farooqjaved/2019/7/20/q1c1xiwvod8xwgchkrzxqkodba8dif)	0	[]	2221539577	28	2020-03-13
28	1	2020-03-04T19:08:47Z	https://todoist.com/showTask?id=3732665564	False	0	3732665564	[mentorship formula](http://www.farooq-javed.com/farooqjaved/2019/7/14/lj33wkd8ras5xbyolie2yjhn3tp8te)	0	[]	2221539577	29	2020-03-13
29	1	2020-03-04T19:08:39Z	https://todoist.com/showTask?id=3732665305	False	0	3732665305	[public perception](http://www.farooq-javed.com/farooqjaved/2018/12/25/public-perception)	0	[]	2221539577	30	2020-03-13
30	1	2020-03-04T19:08:31Z	https://todoist.com/showTask?id=3732665093	False	0	3732665093	[approaches to data and machine learning](http://www.farooq-javed.com/farooqjaved/2018/9/5/approaches-to-data-and-ml)	0	[]	2221539577	31	2020-03-14
31	1	2020-03-04T19:08:23Z	https://todoist.com/showTask?id=3732664842	False	0	3732664842	[second-order effects: what can exist?](http://www.farooq-javed.com/farooqjaved/2018/8/18/second-order-effects-what-can-exist)	0	[]	2221539577	32	2020-03-14
